state,state_code,racetype,election_year,incumbent,incumbent_party,incumbent_retiring,hete_democrat,hete_republican,democrat_1,democrat_1_probability,democrat_2,democrat_2_probability,democrat_3,democrat_3_probability,democrat_4,democrat_4_probability,democrat_5,democrat_5_probability,democrat_6,democrat_6_probability,republican_1,republican_1_probability,republican_2,republican_2_probability,republican_3,republican_3_probability,republican_4,republican_4_probability,republican_5,republican_5_probability,republican_6,republican_6_probability,independent_1,independent_2,independent_3,independent_4
Rhode Island,RI,senate_1,2024,Democrat Sheldon Whitehouse,D,,Democrat Sheldon Whitehouse,A Republican Candidate,A Democratic Candidate,0.1,Democrat Sheldon Whitehouse,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Tennessee,TN,senate_1,2024,Republican Marsha Blackburn,R,,A Democratic Candidate,Republican Marsha Blackburn,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Marsha Blackburn,0.9,,,,,,,,,,,,
Texas,TX,senate_1,2024,Republican Ted Cruz,R,,A Democratic Candidate,Republican Ted Cruz,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Ted Cruz,0.9,,,,,,,,,,,,
Utah,UT,senate_1,2024,Republican Mitt Romney,R,,A Democratic Candidate,Republican Mitt Romney,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Mitt Romney,0.9,,,,,,,,,,,,
Vermont,VT,senate_1,2024,Democrat Bernie Sanders,D,,Democrat Bernie Sanders,A Republican Candidate,A Democratic Candidate,0.1,Democrat Bernie Sanders,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Virginia,VA,senate_1,2024,Democrat Tim Kaine,D,,Democrat Tim Kaine,A Republican Candidate,A Democratic Candidate,0.1,Democrat Tim Kaine,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Washington,WA,senate_1,2024,Democrat Maria Cantwell,D,,Democrat Maria Cantwell,A Republican Candidate,A Democratic Candidate,0.1,Democrat Maria Cantwell,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
West Virginia,WV,senate_1,2024,Democrat Joe Manchin,D,,Democrat Joe Manchin,A Republican Candidate,A Democratic Candidate,0.1,Democrat Joe Manchin,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Wisconsin,WI,senate_1,2024,Democrat Tammy Baldwin,D,,Democrat Tammy Baldwin,A Republican Candidate,A Democratic Candidate,0.1,Democrat Tammy Baldwin,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Wyoming,WY,senate_1,2024,Republican John Barrasso,R,,A Democratic Candidate,Republican John Barrasso,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican John Barrasso,0.9,,,,,,,,,,,,
Alabama,AL,senate_2,2026,Republican Tommy Tuberville,R,,A Democratic Candidate,Republican Tommy Tuberville,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Tommy Tuberville,0.9,,,,,,,,,,,,
Alaska,AK,senate_2,2026,Republican Dan Sullivan,R,,A Democratic Candidate,Republican Dan Sullivan,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Dan Sullivan,0.9,,,,,,,,,,,,
Arkansas,AR,senate_2,2026,Republican Tom Cotton,R,,A Democratic Candidate,Republican Tom Cotton,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Tom Cotton,0.9,,,,,,,,,,,,
Colorado,CO,senate_2,2026,Democrat John Hickenlooper,D,,Democrat John Hickenlooper,A Republican Candidate,A Democratic Candidate,0.1,Democrat John Hickenlooper,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Delaware,DE,senate_2,2026,Democrat Chris Coons,D,,Democrat Chris Coons,A Republican Candidate,A Democratic Candidate,0.1,Democrat Chris Coons,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Georgia,GA,senate_2,2026,Democrat Jon Ossoff,D,,Democrat Jon Ossoff,A Republican Candidate,A Democratic Candidate,0.1,Democrat Jon Ossoff,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Idaho,ID,senate_2,2026,Republican Jim Risch,R,,A Democratic Candidate,Republican Jim Risch,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Jim Risch,0.9,,,,,,,,,,,,
Illinois,IL,senate_2,2026,Democrat Dick Durbin,D,,Democrat Dick Durbin,A Republican Candidate,A Democratic Candidate,0.1,Democrat Dick Durbin,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Iowa,IA,senate_2,2026,Republican Joni Ernst,R,,A Democratic Candidate,Republican Joni Ernst,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Joni Ernst,0.9,,,,,,,,,,,,
Kansas,KS,senate_2,2026,Republican Roger Marshall,R,,A Democratic Candidate,Republican Roger Marshall,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Roger Marshall,0.9,,,,,,,,,,,,
Kentucky,KY,senate_2,2026,Republican Mitch McConnell,R,,A Democratic Candidate,Republican Mitch McConnell,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Mitch McConnell,0.9,,,,,,,,,,,,
Louisiana,LA,senate_2,2026,Republican Bill Cassidy,R,,A Democratic Candidate,Republican Bill Cassidy,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Bill Cassidy,0.9,,,,,,,,,,,,
Maine,ME,senate_2,2026,Republican Susan Collins,R,,A Democratic Candidate,Republican Susan Collins,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Susan Collins,0.9,,,,,,,,,,,,
Massachusetts,MA,senate_2,2026,Democrat Ed Markey,D,,Democrat Ed Markey,A Republican Candidate,A Democratic Candidate,0.1,Democrat Ed Markey,0.9,,,,,,,,,A Republican Candidate,0,,,,,,,,,,,,,,
Michigan,MI,senate_2,2026,Democrat Gary Peters,D,,Democrat Gary Peters,A Republican Candidate,A Democratic Candidate,0.1,Democrat Gary Peters,0.9,,,,,,,,,A Republican Candidate,0,,,,,,,,,,,,,,
Minnesota,MN,senate_2,2026,Democrat Tina Smith,D,,Democrat Tina Smith,A Republican Candidate,A Democratic Candidate,0.1,Democrat Tina Smith,0.9,,,,,,,,,A Republican Candidate,0,,,,,,,,,,,,,,
Mississippi,MS,senate_2,2026,Republican Cindy Hyde-Smith,R,,A Democratic Candidate,Republican Cindy Hyde-Smith,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Cindy Hyde-Smith,0.9,,,,,,,,,,,,
Montana,MT,senate_2,2026,Republican Steve Daines,R,,A Democratic Candidate,Republican Steve Daines,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Steve Daines,0.9,,,,,,,,,,,,
Nebraska,NE,senate_2,2024,Republican Ben Sasse,R,1,A Democratic Candidate,A Republican Candidate,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
New Hampshire,NH,senate_2,2026,Democrat Jeanne Shaheen,D,,Democrat Jeanne Shaheen,A Republican Candidate,A Democratic Candidate,0.1,Democrat Jeanne Shaheen,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
New Jersey,NJ,senate_2,2026,Democrat Cory Booker,D,,Democrat Cory Booker,A Republican Candidate,A Democratic Candidate,0.1,Democrat Cory Booker,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
New Mexico,NM,senate_2,2026,Democrat Ben Ray Luján,D,,Democrat Ben Ray Luján,A Republican Candidate,A Democratic Candidate,0.1,Democrat Ben Ray Luján,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
North Carolina,NC,senate_2,2026,Republican Thom Tillis,R,,A Democratic Candidate,Republican Thom Tillis,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Thom Tillis,0.9,,,,,,,,,,,,
Oklahoma,OK,senate_2,2026,Republican Markwayne Mullin,R,,A Democratic Candidate,Republican Markwayne Mullin,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Markwayne Mullin,0.9,,,,,,,,,,,,
Oregon,OR,senate_2,2026,Democrat Jeff Merkley,D,,Democrat Jeff Merkley,A Republican Candidate,A Democratic Candidate,0.1,Democrat Jeff Merkley,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Rhode Island,RI,senate_2,2026,Democrat Jack Reed,D,,Democrat Jack Reed,A Republican Candidate,A Democratic Candidate,0.1,Democrat Jack Reed,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
South Carolina,SC,senate_2,2026,Republican Lindsey Graham,R,,A Democratic Candidate,Republican Lindsey Graham,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Lindsey Graham,0.9,,,,,,,,,,,,
South Dakota,SD,senate_2,2026,Republican Mike Rounds,R,,A Democratic Candidate,Republican Mike Rounds,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Mike Rounds,0.9,,,,,,,,,,,,
Tennessee,TN,senate_2,2026,Republican Bill Hagerty,R,,A Democratic Candidate,Republican Bill Hagerty,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Bill Hagerty,0.9,,,,,,,,,,,,
Texas,TX,senate_2,2026,Republican John Cornyn,R,,A Democratic Candidate,Republican John Cornyn,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican John Cornyn,0.9,,,,,,,,,,,,
Virginia,VA,senate_2,2026,Democrat Mark Warner,D,,Democrat Mark Warner,A Republican Candidate,A Democratic Candidate,0.1,Democrat Mark Warner,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
